site_id,site_slug,site_name,device_id,device_name,role_name,role_slug,model,model_slug,manufacturer,status,url
116,sorocaba,Sorocaba,2640,BRSCSOACAM001-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2640/
116,sorocaba,Sorocaba,35523,BRSCSOACP002-1,Access Switch,access-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/35523/
116,sorocaba,Sorocaba,2639,BRSCSOCCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2639/
172,sortation-center-new,Sortation Center XSP9 (New),2244,BRXDS9ACAM001-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2244/
172,sortation-center-new,Sortation Center XSP9 (New),2256,BRXDS9ACAM002-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2256/
172,sortation-center-new,Sortation Center XSP9 (New),2246,BRXDS9ACAM003-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2246/
172,sortation-center-new,Sortation Center XSP9 (New),2247,BRXDS9ACAM004-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2247/
172,sortation-center-new,Sortation Center XSP9 (New),2248,BRXDS9ACAM005-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2248/
172,sortation-center-new,Sortation Center XSP9 (New),2249,BRXDS9ACAM006-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2249/
172,sortation-center-new,Sortation Center XSP9 (New),9627,BRXDS9ACAM006-3,Access Cameras,access-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Offline,http://netbox.adminml.com/dcim/devices/9627/
172,sortation-center-new,Sortation Center XSP9 (New),2250,BRXDS9ACAM007-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2250/
172,sortation-center-new,Sortation Center XSP9 (New),2251,BRXDS9ACAM008-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2251/
172,sortation-center-new,Sortation Center XSP9 (New),2252,BRXDS9ACAM009-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2252/
172,sortation-center-new,Sortation Center XSP9 (New),2253,BRXDS9ACAM010-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2253/
172,sortation-center-new,Sortation Center XSP9 (New),6324,BRXDS9ACAM012-1,Access Cameras,access-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/6324/
172,sortation-center-new,Sortation Center XSP9 (New),9243,BRXDS9ACAM013-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9243/
172,sortation-center-new,Sortation Center XSP9 (New),9625,BRXDS9ACAM014-1,Access Cameras,access-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9625/
172,sortation-center-new,Sortation Center XSP9 (New),16943,BRXDS9ACAM015-1,Access Cameras,access-cameras,ICX7150-C08-POE,icx7150-c08-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/16943/
172,sortation-center-new,Sortation Center XSP9 (New),27162,BRXDS9ACAM016-1,Access Cameras,access-cameras,ICX7150-C08P,icx-7150-c08p,Ruckus,Offline,http://netbox.adminml.com/dcim/devices/27162/
172,sortation-center-new,Sortation Center XSP9 (New),266790,BRXDS9ACAM033-1,Access Cameras,access-cameras,ICX7150-C08P,icx-7150-c08p,Ruckus,Em Descomissionamento,http://netbox.adminml.com/dcim/devices/266790/
172,sortation-center-new,Sortation Center XSP9 (New),2254,BRXDS9ACAM050-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2254/
172,sortation-center-new,Sortation Center XSP9 (New),16527,BRXDS9CCAM001-1,Core Cameras,core-cameras,ICX7150-24F,icx7150-24f,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/16527/
172,sortation-center-new,Sortation Center XSP9 (New),16526,BRXDS9CCAM001-2,Core Cameras,core-cameras,ICX7150-24PF-4X10G,icx7150-24pf-4x10g,Ruckus,Offline,http://netbox.adminml.com/dcim/devices/16526/
82,bauru,SVC Bauru,29831,BRSCBUACAM001-1,Access Cameras,access-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/29831/
56,svc-contagem,SVC Contagem,2626,BRSCCGACAM001-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2626/
56,svc-contagem,SVC Contagem,9221,BRSCCGACAM007-1,Access Cameras,access-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9221/
56,svc-contagem,SVC Contagem,2625,BRSCCGCCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2625/
168,svc-curitiba,SVC Curitiba,2630,BRSCCRACAM001-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2630/
168,svc-curitiba,SVC Curitiba,2629,BRSCCRCCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2629/
168,svc-curitiba,SVC Curitiba,295904,FEE3806V1A5,Access Switch,access-switch,ICX7150-48PF,icx7150-48pf,Ruckus,Offline,http://netbox.adminml.com/dcim/devices/295904/
647,svc-jaguare,SVC Jaguare,668152,BRSCJEACAM001-1,Access Cameras,access-cameras,ICX8200-24P,icx8200-24p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/668152/
647,svc-jaguare,SVC Jaguare,668160,BRSCJEACAM002-1,Access Cameras,access-cameras,ICX8200-24P,icx8200-24p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/668160/
647,svc-jaguare,SVC Jaguare,687432,BRSCJEACAM003-1,Access Cameras,access-cameras,ICX7150-C12P,icx7150-c12p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/687432/
647,svc-jaguare,SVC Jaguare,668161,BRSCJECCAM001-1,Core Cameras,core-cameras,ICX8200-24P,icx8200-24p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/668161/
